page_id,model_id,fkre_delta,fkgl_delta,gfi_delta,smog_delta,cli_delta,ari_delta,fkre_rewrite,fkgl_rewrite,gfi_rewrite,smog_rewrite,cli_rewrite,ari_rewrite,fkre_orig,fkgl_orig,gfi_orig,smog_orig,cli_orig,ari_orig
cleveland__cta__2327f207,claude,21.72,-3.5599999999999996,-4.01,-2.860000000000001,-3.6799999999999997,-3.8600000000000003,80.78,4.81,7.52,8.69,6.17,4.78,59.06,8.37,11.53,11.55,9.85,8.64
cleveland__cta__2327f207,gemini,28.799999999999997,-4.629999999999999,-5.81,-4.57,-4.5,-4.69,87.86,3.74,5.72,6.98,5.35,3.95,59.06,8.37,11.53,11.55,9.85,8.64
cleveland__cta__2327f207,openai,17.75999999999999,-3.259999999999999,-3.4799999999999986,-2.460000000000001,-2.9499999999999993,-3.5900000000000007,76.82,5.11,8.05,9.09,6.9,5.05,59.06,8.37,11.53,11.55,9.85,8.64
cleveland__laao__58be2f5f,claude,26.699999999999996,-4.7299999999999995,-5.010000000000001,-3.75,-4.760000000000001,-5.53,82.83,4.79,7.62,8.58,6.45,5.45,56.13,9.52,12.63,12.33,11.21,10.98
cleveland__laao__58be2f5f,gemini,29.490000000000002,-5.1499999999999995,-5.930000000000001,-4.5200000000000005,-5.0600000000000005,-5.87,85.62,4.37,6.7,7.81,6.15,5.11,56.13,9.52,12.63,12.33,11.21,10.98
cleveland__laao__58be2f5f,openai,21.04,-4.14,-4.510000000000002,-3.1500000000000004,-4.010000000000001,-5.24,77.17,5.38,8.12,9.18,7.2,5.74,56.13,9.52,12.63,12.33,11.21,10.98
cleveland__tavr__2d4c210c,claude,23.86,-4.120000000000001,-4.670000000000001,-3.1099999999999994,-4.62,-4.82,80.75,4.43,7.13,8.66,6.63,4.82,56.89,8.55,11.8,11.77,11.25,9.64
cleveland__tavr__2d4c210c,gemini,30.069999999999993,-4.940000000000001,-6.3500000000000005,-4.489999999999999,-5.67,-5.720000000000001,86.96,3.61,5.45,7.28,5.58,3.92,56.89,8.55,11.8,11.77,11.25,9.64
cleveland__tavr__2d4c210c,openai,19.629999999999995,-3.5500000000000007,-3.9000000000000004,-2.6899999999999995,-3.74,-4.170000000000001,76.52,5.0,7.9,9.08,7.51,5.47,56.89,8.55,11.8,11.77,11.25,9.64
jhmi__cta__f15ba785,claude,38.290000000000006,-7.83,-8.71,-6.16,-5.35,-8.21,79.73,4.74,7.1,8.36,6.33,4.67,41.44,12.57,15.81,14.52,11.68,12.88
jhmi__cta__f15ba785,gemini,38.879999999999995,-7.510000000000001,-8.690000000000001,-6.4,-4.9799999999999995,-7.370000000000001,80.32,5.06,7.12,8.12,6.7,5.51,41.44,12.57,15.81,14.52,11.68,12.88
jhmi__cta__f15ba785,openai,28.510000000000005,-6.28,-7.15,-5.01,-3.83,-6.720000000000001,69.95,6.29,8.66,9.51,7.85,6.16,41.44,12.57,15.81,14.52,11.68,12.88
jhmi__laao__b5350128,claude,31.220000000000006,-6.090000000000001,-6.86,-5.16,-4.77,-6.640000000000001,81.18,5.12,7.63,8.4,6.98,5.92,49.96,11.21,14.49,13.56,11.75,12.56
jhmi__laao__b5350128,gemini,33.52,-6.240000000000001,-7.29,-5.460000000000001,-5.27,-6.87,83.48,4.97,7.2,8.1,6.48,5.69,49.96,11.21,14.49,13.56,11.75,12.56
