model_id,model,n_pages,spearman_rho,p_value
claude,Claude Opus 4.8,26,-0.23799375126466163,0.24169187892118868
openai,GPT-5.5,25,-0.1904151096642437,0.36191942590693593
gemini,Gemini 3.1 Pro,26,0.5081866636613463,0.008034018052636498
