score,test,statistic,p,n_groups,levene_p
fkre,kruskal,14.523809523809533,0.042611665753290374,8,0.32872298473201667
fkgl,kruskal,12.437229437229433,0.08706649128450146,8,0.01088591691815065
gfi,kruskal,10.679653679653697,0.15321560119978217,8,0.11200097176306745
smog,kruskal,10.348484848484858,0.16967014181480466,8,0.21276088072910326
cli,kruskal,14.05194805194806,0.05026508329710227,8,0.32759558511976217
ari,kruskal,11.017977041368866,0.13783679098887103,8,0.009816813305476756
