score,n,mean,sd,median,iqr_low,iqr_high
fkre,26,50.66076923076923,12.059624844273364,53.965,43.2225,57.555
fkgl,26,10.536153846153846,2.451432359944817,10.315,8.65,11.9225
gfi,26,13.711538461538462,2.605066897118294,13.09,11.877500000000001,15.495000000000001
smog,26,13.131538461538462,1.814589082536743,12.725,11.815,14.2225
cli,26,11.505384615384612,1.9336912489210492,11.23,10.0925,12.4325
ari,26,11.40846153846154,2.8841632302041336,10.98,9.245000000000001,12.8
