model_id,model,axis,n_rewrites,spearman_rho,ci_low,ci_high,p_value,n_boot_valid
claude,Claude Opus 4.8,accuracy_1_5,26,0.24987541113658499,-0.14277666308469913,0.597387909404894,0.21828507426658947,5000
claude,Claude Opus 4.8,completeness_1_5,26,-0.08283522930296755,-0.5068349762279781,0.31380889044464266,0.6874647158332947,4360
openai,GPT-5.5,accuracy_1_5,25,0.026155297175379393,-0.34250301875281425,0.3825388390137763,0.9012344559793543,4982
openai,GPT-5.5,completeness_1_5,25,0.05891824837401253,-0.46351977902042296,0.5067184723817294,0.7796676429443586,4982
gemini,Gemini 3.1 Pro,accuracy_1_5,26,-0.3714317865175867,-0.6825699635666038,0.07636108263696588,0.061725351496951374,4998
gemini,Gemini 3.1 Pro,completeness_1_5,26,-0.16635223575393673,-0.5485839092929645,0.25820441734426003,0.41667766127784556,5000
