model_id,model,n_judgments,accuracy_mean,completeness_mean,added_errors_mean,pct_accuracy_max,pct_no_added_error,n_notes
claude,Claude Opus 4.8,35,4.771428571428571,4.942857142857143,1.1428571428571428,77.14285714285715,88.57142857142857,13
openai,GPT-5.5,35,4.828571428571428,4.828571428571428,1.1428571428571428,91.42857142857143,91.42857142857143,8
gemini,Gemini 3.1 Pro,33,4.848484848484849,4.696969696969697,1.0606060606060606,84.84848484848484,93.93939393939394,12
