model_id,n_rewrites,fkre_mean,fkre_sd,fkre_median,fkre_iqr_low,fkre_iqr_high,fkgl_mean,fkgl_sd,fkgl_median,fkgl_iqr_low,fkgl_iqr_high,gfi_mean,gfi_sd,gfi_median,gfi_iqr_low,gfi_iqr_high,smog_mean,smog_sd,smog_median,smog_iqr_low,smog_iqr_high,cli_mean,cli_sd,cli_median,cli_iqr_low,cli_iqr_high,ari_mean,ari_sd,ari_median,ari_iqr_low,ari_iqr_high,n_meeting_fkgl6,pct_meeting_fkgl6,meeting_ci_low_pct,meeting_ci_high_pct
claude,26,79.40384615384616,5.2431365245799775,80.765,78.375,82.75,5.018846153846154,0.9783468788648612,4.8,4.3475,5.355,7.622692307692308,1.074164075706529,7.555,6.93,8.03,8.697307692307692,0.722537515661617,8.57,8.2175,8.9975,6.8065384615384605,0.9161831358748854,6.615,6.255000000000001,7.0625,5.25846153846154,1.0827287464834112,5.075,4.7125,5.57,22,84.61538461538461,65.13212144646386,95.64365234610761
gemini,26,81.89230769230768,5.763572716773726,83.42500000000001,79.4075,86.605,4.798076923076923,1.0885954959699924,4.48,3.93,5.425,7.059615384615385,1.1416005633118118,6.9399999999999995,6.1575,7.915,8.215384615384615,0.9077278480656228,7.955,7.6125,8.9,6.583461538461539,1.0812879072946013,6.289999999999999,5.9975000000000005,6.9475,5.243846153846155,1.237277905478238,5.095000000000001,4.4825,5.93,20,76.92307692307692,56.35249030586136,91.02598891154247
openai,25,69.23599999999999,7.055970285273789,70.84,66.64,74.14,6.6772,1.305624116403084,6.29,5.77,7.3,9.402800000000001,1.2040885903177279,8.92,8.55,10.17,10.0556,0.8182302039564825,9.84,9.48,10.31,8.6408,1.3640775882136127,8.26,7.79,9.13,7.077599999999999,1.5543923786054363,6.37,6.16,7.46,9,36.0,17.971682058365538,57.47936504461505
