model_id,model,n_rewrites,accuracy_1_5_mean,accuracy_1_5_sd,completeness_1_5_mean,completeness_1_5_sd,added_errors_1_5_mean,added_errors_1_5_sd
claude,Claude Opus 4.8,26,4.769230769230769,0.38319395459428485,4.961538461538462,0.14381849910133498,1.1474358974358974,0.437992701808611
openai,GPT-5.5,25,4.753333333333334,0.8152482012428053,4.753333333333334,0.8152482012428053,1.1733333333333333,0.6244997998398398
gemini,Gemini 3.1 Pro,26,4.833333333333334,0.31269438398822863,4.6089743589743595,0.8980748641056945,1.0576923076923077,0.14096735392208676
