score,test,statistic,p,n_groups,levene_p
fkre,kruskal,0.018233618233622906,0.9909246229823122,3,0.672398924525987
fkgl,anova,0.06338823023448692,0.9387424007998916,3,0.3429953885828404
gfi,anova,0.25356408701671146,0.7781709207235668,3,0.20905581419405875
smog,anova,0.24093047657834146,0.7878548728102165,3,0.2391008802489259
cli,kruskal,3.056410256410274,0.21692467007846453,3,0.8331915345861123
ari,anova,0.7026678662424475,0.5055860359600897,3,0.3579789451337691
